Unnamed: 0,fraud_score,ml_prob,rule_score,iso_anomaly_score,actual_class,is_fraud,claim_id
263020,0.2,0.0,0.5,-0.1757441711060062,0,0,1
11378,0.0,0.0,0.0,-0.0814322477402806,0,0,2
147283,0.222,0.0366666666666666,0.5,-0.0475772561852309,0,0,3
219439,0.0,0.0,0.0,-0.2159349377676533,0,0,4
36939,0.006,0.01,0.0,-0.1189501890556916,0,0,5
243438,0.0,0.0,0.0,-0.2049709452682701,0,0,6
259448,0.2,0.0,0.5,-0.1595925313587106,0,0,7
43800,0.0,0.0,0.0,-0.2071988872249419,0,0,8
66742,0.2,0.0,0.5,-0.2010732936509722,0,0,9
66499,0.2,0.0,0.5,-0.1912566338854995,0,0,10
83371,0.206,0.01,0.5,-0.0113313713448884,0,0,11
12890,0.202,0.0033333333333333,0.5,-0.132820352045957,0,0,12
81804,0.2,0.0,0.5,-0.1714382878623123,0,0,13
192849,0.0,0.0,0.0,-0.2113889631305354,0,0,14
91888,0.0,0.0,0.0,-0.2167368754421443,0,0,15
248680,0.0,0.0,0.0,-0.2061262613067807,0,0,16
59051,0.2,0.0,0.5,-0.1801538760629694,0,0,17
8336,0.0,0.0,0.0,-0.1595435924485064,0,0,18
118398,0.2,0.0,0.5,-0.1505253178014476,0,0,19
224464,0.002,0.0033333333333333,0.0,-0.1500754016807894,0,0,20
40482,0.2,0.0,0.5,-0.1821720738121879,0,0,21
254792,0.2,0.0,0.5,-0.1948099616036704,0,0,22
146793,0.0,0.0,0.0,-0.2084709615639371,0,0,23
89695,0.0,0.0,0.0,-0.193181690622336,0,0,24
108813,0.0,0.0,0.0,-0.1665591164325287,0,0,25
49034,0.0,0.0,0.0,-0.1841345406354912,0,0,26
146582,0.0,0.0,0.0,-0.1410730991977457,0,0,27
248176,0.0,0.0,0.0,-0.1862210284953032,0,0,28
259391,0.2,0.0,0.5,-0.1681185660130718,0,0,29
9261,0.202,0.0033333333333333,0.5,-0.1427069007562238,0,0,30
188175,0.0,0.0,0.0,-0.1609072009123779,0,0,31
32822,0.0,0.0,0.0,-0.1725744096313357,0,0,32
41238,0.0,0.0,0.0,-0.2005697414121873,0,0,33
182131,0.0,0.0,0.0,-0.1981740826084831,0,0,34
261008,0.0,0.0,0.0,-0.1706957763346389,0,0,35
160162,0.2,0.0,0.5,-0.195665725397219,0,0,36
278912,0.204,0.0066666666666666,0.5,-0.0927013034284769,0,0,37
202749,0.2,0.0,0.5,-0.1715945425850012,0,0,38
116509,0.2,0.0,0.5,-0.1680547527491062,0,0,39
127165,0.0,0.0,0.0,-0.2040830652226193,0,0,40
49943,0.2,0.0,0.5,-0.2022002329059559,0,0,41
66503,0.2,0.0,0.5,-0.1636371981524165,0,0,42
165530,0.0,0.0,0.0,-0.2176890087313259,0,0,43
